year,title,studio,total_gross,total_theaters,opening_gross,opening_theaters,opening_date
2013,Identity Thief,Uni.,"$134,506,920",3230,"$34,551,025",3141,2/8
2013,Grown Ups 2,Sony,"$133,668,525",3491,"$41,508,572",3491,7/12
2013,The Wolverine,Fox,"$132,556,852",3924,"$53,113,752",3924,7/26
2013,Anchorman 2: The Legend Continues,Par.,"$125,168,368",3507,"$26,232,425",3507,12/18
2013,Lone Survivor,Uni.,"$125,095,601",3285,"$90,872",2,12/25
2013,G.I. Joe: Retaliation,Par.,"$122,523,060",3734,"$40,501,814",3719,3/28
2013,Cloudy with a Chance of Meatballs 2,Sony,"$119,793,567",4001,"$34,017,930",4001,9/27
2013,Now You See Me,LG/S,"$117,723,989",3082,"$29,350,389",2925,5/31
2013,The Wolf of Wall Street,Par.,"$116,900,694",2557,"$18,361,578",2537,12/25
2013,Lee Daniels' The Butler,Wein.,"$116,632,095",3330,"$24,637,312",2933,8/16
2013,The Hangover Part III,WB,"$112,200,072",3565,"$41,671,198",3555,5/23
2013,Epic,Fox,"$107,518,682",3894,"$33,531,068",3882,5/24
2013,Captain Phillips,Sony,"$107,100,855",3143,"$25,718,314",3020,10/11
2013,Jackass Presents: Bad Grandpa,Par.,"$102,003,019",3345,"$32,055,177",3336,10/25
2013,Pacific Rim,WB,"$101,802,906",3285,"$37,285,325",3275,7/12
2013,This is the End,Sony,"$101,470,202",3055,"$20,719,162",3055,6/12
2013,Olympus Has Fallen,FD,"$98,925,640",3106,"$30,373,794",3098,3/22
2013,42,WB,"$95,020,213",3405,"$27,487,144",3003,4/12
2013,Elysium,TriS,"$93,050,117",3284,"$29,807,393",3284,8/9
2013,Planes,BV,"$90,288,712",3716,"$22,232,291",3702,8/9
2013,The Lone Ranger,BV,"$89,302,115",3904,"$29,210,849",3904,7/3
2013,Oblivion,Uni.,"$89,107,235",3792,"$37,054,485",3783,4/19
2013,Insidious Chapter 2,FD,"$83,586,447",3155,"$40,272,103",3049,9/13
2013,Saving Mr. Banks,BV,"$83,301,580",2671,"$413,373",15,12/13
2013,Turbo,Fox,"$83,028,128",3809,"$21,312,625",3806,7/17
2013,2 Guns,Uni.,"$75,612,460",3028,"$27,059,130",3025,8/2
2013,White House Down,Sony,"$73,103,784",3222,"$24,852,258",3222,6/28
2013,Mama,Uni.,"$71,628,180",2781,"$28,402,310",2647,1/18
2013,Safe Haven,Rela.,"$71,349,120",3223,"$21,401,594",3223,2/14
2013,The Smurfs 2,Sony,"$71,017,784",3867,"$17,548,389",3866,7/31
2013,The Best Man Holiday,Uni.,"$70,525,195",2041,"$30,107,555",2024,11/15
2013,Percy Jackson: Sea of Monsters,Fox,"$68,559,554",3080,"$14,401,054",3031,8/7
2013,A Good Day to Die Hard,Fox,"$67,349,198",3555,"$24,834,845",3553,2/14
2013,Warm Bodies,LG/S,"$66,380,662",3009,"$20,353,967",3009,2/1
2013,Jack the Giant Slayer,WB (NL),"$65,187,603",3525,"$27,202,226",3525,3/1
2013,The Purge,Uni.,"$64,473,115",2591,"$34,058,360",2536,6/7
2013,Last Vegas,CBS,"$63,914,167",3237,"$16,334,566",3065,11/1
2013,Ender's Game,LG/S,"$61,737,191",3407,"$27,017,351",3407,11/1
2013,Prisoners,WB,"$61,002,302",3290,"$20,817,053",3260,9/20
2013,After Earth,Sony,"$60,522,097",3401,"$27,520,040",3401,5/31
2013,The Secret Life of Walter Mitty,Fox,"$58,236,838",2922,"$12,765,508",2909,12/25
2013,Escape From Planet Earth,Wein.,"$57,012,977",3353,"$15,891,055",3288,2/15
2013,12 Years a Slave,FoxS,"$56,671,993",1474,"$923,715",19,10/18
2013,Free Birds,Rela.,"$55,750,480",3736,"$15,805,237",3736,11/1
2013,Hansel and Gretel: Witch Hunters,Par.,"$55,703,475",3375,"$19,690,956",3372,1/25
2013,Evil Dead (2013),TriS,"$54,239,856",3025,"$25,775,847",3025,4/5
2013,Red 2,LG/S,"$53,262,560",3016,"$18,048,422",3016,7/19
2013,Tyler Perry's A Madea Christmas,LGF,"$52,543,354",2194,"$16,007,634",2194,12/13
2013,Tyler Perry's Temptation: Confessions of a Marriage Counselor,LGF,"$51,975,354",2047,"$21,641,679",2047,3/29
2013,The Call,TriS,"$51,872,378",2507,"$17,118,745",2507,3/15
2013,Pain and Gain,Par.,"$49,875,291",3303,"$20,244,505",3277,4/26
2013,Gangster Squad,WB,"$46,000,903",3103,"$17,070,347",3103,1/11
2013,Jurassic Park 3D,Uni.,"$45,385,935",2778,"$18,620,145",2771,4/5
2013,The Internship,Fox,"$44,672,764",3399,"$17,325,307",3366,6/7
2013,Instructions Not Included,LGF,"$44,467,206",978,"$7,846,426",348,8/30
2013,Snitch,LG/S,"$42,930,462",2511,"$13,167,607",2511,2/22
2013,Riddick,Uni.,"$42,025,135",3117,"$19,030,375",3107,9/6
2013,A Haunted House,ORF,"$40,041,683",2160,"$18,101,682",2160,1/11
2013,47 Ronin,Uni.,"$38,362,475",2690,"$9,910,310",2689,12/25
2013,August: Osage County,Wein.,"$37,738,810",2411,"$179,302",5,12/27
2013,Philomena,Wein.,"$37,709,979",1225,"$128,435",4,11/22
2013,The Family (2013),Rela.,"$36,918,811",3091,"$14,034,764",3091,9/13
2013,Walking with Dinosaurs,Fox,"$36,076,121",3243,"$7,091,938",3231,12/20
2013,Carrie (2013),SGem,"$35,266,619",3157,"$16,101,552",3157,10/18
2013,Texas Chainsaw 3D,LGF,"$34,341,945",2659,"$21,744,470",2654,1/4
2013,R.I.P.D.,Uni.,"$33,618,855",2852,"$12,691,415",2852,7/19
2013,Blue Jasmine,SPC,"$33,405,481",1283,"$612,064",6,7/26
2013,Kevin Hart: Let Me Explain,LG/S,"$32,244,051",892,"$10,030,463",876,7/3
2013,Side Effects (2013),ORF,"$32,172,757",2605,"$9,303,145",2605,2/8
2013,Scary Movie 5,W/Dim.,"$32,015,787",3402,"$14,157,367",3402,4/12
2013,The Mortal Instruments: City of Bones,SGem,"$31,165,421",3118,"$9,336,957",3118,8/21
2013,Delivery Man,BV,"$30,664,106",3036,"$7,944,977",3036,11/22
