,index,title,score
108,0,Robin Hood,32
109,0,Max Payne,31
110,0,Angels & Demons,48
111,0,Mamma Mia! Here We Go Again,60
112,0,Lakeview Terrace,47
113,0,Knowing,41
114,0,9,60
115,0,Righteous Kill,36
116,0,Transporter 3,51
117,0,When in Rome,25
118,0,Bolt,67
119,0,Mirrors,35
120,0,Beverly Hills Chihuahua,41
121,0,Star Trek Beyond,68
122,0,"Welcome Home, Roscoe Jenkins",46
123,0,Quarantine,53
124,0,Precious: Based on the Novel 'Push' by Sapphire,79
125,0,Fireproof,28
126,0,Coraline,80
127,0,G.I. Joe: The Rise of Cobra,32
128,0,Vice,61
129,0,The Lord of the Rings: The Return of the King,94
130,0,Hotel for Dogs,51
131,0,2012,49
132,0,Doctor Strange,72
133,0,Set It Up,62
134,0,Hot Pursuit,31
135,0,Role Models,61
136,0,The BFG,66
137,0,Turbo Kid,60
138,0,Mrs. Doubtfire,53
139,0,Defiance,58
140,0,Mother's Day,18
141,0,True Grit,80
142,0,Paul Blart: Mall Cop 2,13
143,0,Inglourious Basterds,69
144,0,Alice Through the Looking Glass,34
145,0,"I Love You, Man",70
146,0,Wonder Woman,76
147,0,The Soloist,61
148,0,Planet 51,39
149,0,Duplicity,69
150,0,Drag Me to Hell,83
151,0,State of Play,64
152,0,Obsessed,25
153,0,The Woman in Black,62
154,0,District 9,81
155,0,Dunkirk,94
156,0,The Twilight Saga: New Moon,44
157,0,Land of the Lost,32
158,0,17 Again,48
159,0,Year One,34
160,0,Where the Wild Things Are,71
161,0,The Foreigner,55
162,0,Surrogates,45
163,0,The Haunting in Connecticut,33
164,0,The Hangover,73
165,0,The Adventures of Tintin,68
166,0,Night at the Museum: Battle of the Smithsonian,42
167,0,Project X,48
168,0,Zombieland,73
169,0,G-Force,41
170,0,Couples Retreat,23
171,0,The Ugly Truth,28
172,0,The Taking of Pelham 1 2 3,55
173,0,Confessions of a Shopaholic,38
174,0,Funny People,60
175,0,The Book of Eli,53
176,0,The Prodigy,45
177,0,Orphan,42
178,0,Despicable Me 3,49
179,0,Saw VI,30
180,0,(500) Days of Summer,76
181,0,Avatar,83
182,0,Hope Springs,65
183,0,Dance Flick,40
184,0,Final Destination 5,50
185,0,Neighbors 2: Sorority Rising,58
186,0,Ninja Assassin,34
187,0,Cloudy with a Chance of Meatballs,66
188,0,It's Complicated,57
189,0,Up in the Air,83
190,0,Law Abiding Citizen,34
191,0,Coco,81
192,0,The Fourth Kind,34
193,0,Scott Pilgrim vs. the World,69
194,0,Dear John,43
195,0,Invictus,74
196,0,The Blind Side,53
197,0,Green Zone,63
198,0,The Cabin in the Woods,72
199,0,Takers,45
200,0,Old Dogs,19
201,0,Tooth Fairy,36
202,0,Alvin and the Chipmunks: The Squeakquel,41
203,0,Hot Tub Time Machine,63
204,0,Jigsaw,39
205,0,Sucker Punch,33
206,0,The Twilight Saga: Eclipse,58
207,0,Into the Woods,69
208,0,Kick-Ass 2,41
209,0,Cop Out,31
210,0,All About Steve,17
211,0,The Time Traveler's Wife,47
212,0,Crazy Heart,83
213,0,Frozen,74
214,0,Unstoppable,69
215,0,Machete Kills,41
216,0,Inception,74
217,0,The American,61
